Card Number,Purchase Date,Category,Description,Installment,Value
****1234,2024-01-05,Shopping,AMAZON MARKETPLACE,1/1,250.00
****1234,2024-01-07,Food,IFOOD DELIVERY,1/1,85.00
****1234,2024-01-10,Transportation,UBER TRIP 12345,1/1,28.00
****1234,2024-01-12,Entertainment,NETFLIX SUBSCRIPTION,1/1,45.90
****1234,2024-01-15,Shopping,ONLINE STORE XYZ,1/3,600.00
****1234,2024-01-18,Food,RESTAURANT GOURMET,1/1,180.00
****1234,2024-01-20,Services,HAIRCUT SALON,1/1,80.00
****1234,2024-01-22,Shopping,CLOTHING STORE,1/1,350.00
****1234,2024-01-25,Entertainment,SPOTIFY PREMIUM,1/1,19.90
****1234,2024-01-28,Food,COFFEE SHOP,1/1,25.00
****5678,2024-01-08,Gas,POSTO SHELL,1/1,200.00
****5678,2024-01-12,Shopping,ELECTRONICS STORE,1/12,1200.00
****5678,2024-01-16,Food,SUPERMARKET CHAIN,1/1,450.00
****5678,2024-01-20,Services,CAR WASH,1/1,50.00
****5678,2024-01-25,Entertainment,CINEMA TICKETS,1/1,60.00
